"section","subsection","element","element_id","value"
"Overview","Authorship","Model title","model_title","Spatial predictive modelling of plant species richness in South America"
"Overview","Authorship","Author names","author_names","Anonymous"
"Overview","Authorship","Contact","contact","anonymous@xy.com"
"Overview","Authorship","Study title","study_title",NA
"Overview","Authorship","Study link","study_link",NA
"Overview","Target variable","Target variable","target_variable","plant species richness"
"Overview","Scientific Field","Scientific Field","scientific_field","Biogeosciences"
"Model","Learning method","Model type","model_type","Regression"
"Model","Learning method","Learning method","learning_method","ranger"
"Model","Learning method","Architecture","architecture",NA
"Model","Response","Training domain","training_domain","regional"
"Model","Response","Sample acquisition","sample_acquisition","In-Situ"
"Model","Response","Sample geometry","sample_geometry","Point"
"Model","Response","Sample size","sample_size","703"
"Model","Response","Range","range","1 to 256"
"Model","Response","Sampling design","sampling_design","clustered"
"Model","Response","Coordinate Reference System","coordinate_reference_system","EPSG:4326"
"Model","Response","Data sources of response","data_sources_of_response","sPlotOpen"
"Model","Predictors","Predictor types","predictor_types","Remote Sensing Images, Spatial Proxies"
"Model","Predictors","Number of predictors","number_of_predictors","6"
"Model","Predictors","Names of predictors","names_of_predictors","bio_4, bio_12, bio_8, elev, X, Y"
"Model","Predictors","Preprocessing","preprocessing","Resampling"
"Model","Predictors","Data sources of predictors","data_sources_of_predictors","WorldClim, SRTM"
"Model","Model validation and selection","Validation strategy","validation_strategy","Random Cross-Validation"
"Model","Model validation and selection","Performance metrics","performance_metrics","Rsquared, RMSE"
"Model","Model validation and selection","Validation results","validation_results","RMSE = 22.330, R^2 = 0.737"
"Model","Model validation and selection","Hyperparameter tuning","hyperparameter_tuning","mtry=6, splitrule=1, min.node.size=5"
"Model","Model validation and selection","Predictor selection","predictor_selection","None"
"Model","Model interpretation","Explainability","explainability",NA
"Model","Model interpretation","Scientific interpretation","scientific_interpretation",NA
"Model","Model uncertainty and biases","Potential biases","potential_biases","Training points highly clustered, large parts of South America not covered, important predictors likely missing and instead spatial proxies were used"
"Model","Model uncertainty and biases","Sensitivity assessment","sensitivity_assessment",NA
"Model","Model uncertainty and biases","Limitations","limitations","Extrapolation likely required for large parts of South America, Model not tested for its ability to make predictions to new regions"
"Model","Software","Software","software","R"
"Model","Software","Code availability","code_availability","Zenodo"
"Model","Software","Data availability","data_availability","Zenodo"
"Prediction","Prediction domain","Prediction domain","prediction_domain","regional"
"Prediction","Map evaluation and uncertainty assessment","Evaluation strategy","evaluation_strategy","Random Cross-Validation"
"Prediction","Map evaluation and uncertainty assessment","Performance metrics","performance_metrics","Rsquared"
"Prediction","Map evaluation and uncertainty assessment","Map accuracy","map_accuracy","R^2 = 0.737"
"Prediction","Map evaluation and uncertainty assessment","Uncertainty quantification","uncertainty_quantification","None"
"Prediction","Post-Processing","Threshold selection","threshold_selection",NA
"Prediction","Post-Processing","Post-processing","post_processing",NA
